Feature ID	Taxon	Confidence
003a9a60a4a913b7d944144f7e638ef4	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__CPla-3_termite_group;g__Incertae_Sedis;s__	0.9984358883680952
003add1b0f341dad8f13c888298267ba	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Incertae_Sedis;s__	0.999085833859375
003b1652d578b5fcc5a3e07410651bb5	d__Bacteria;p__Cyanobacteriota;c__Vampirivibrionia;o__Vampirovibrionales;f__Vampirovibrionaceae	0.9309005136989876
003b5928405ada774606ef6bb8a9b391	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.9887488793094641
003d3e6999a9b9e5c3ad8fb83998212c	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Subgroup_10;s__	0.9548037913097149
003d87aaf8f5734a20e6607e2814a66e	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Pla1_lineage;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.9998353240866616
003de2c428e4692c3b8df9b980b69e1d	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga;s__	0.9729931201045334
003df8242d769b8e7119ed66c8436c4c	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae	0.9985025555875101
003ead745977a9cbfc1cae94e8379451	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales	0.9852850708293331
003fc0ee60c1cbaa270534efbe6246c2	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.9406018157575239
00406c4d5363ab7bd94848d02c05145a	d__Bacteria;p__Planctomycetota;c__Planctomycetes	0.9479007911792473
0040769d02db629ca4d77665fde1a447	Unassigned	0.554058691546796
00415d2f24e178c923c35b841a937636	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae	0.9997575709025264
