Location,Subcommunity,TaxRank,Site1,Site2,Bray,Geo_km,Env_distance,Salinity_difference
Biloxi Bay,Abundant,ASV,BIL_ST9,BIL_ST3,0.3493806738798393,10.436511107130958,3.904814031565072,6.84
Biloxi Bay,Abundant,ASV,BIL_ST5,BIL_ST4,0.06271064450396303,2.5604480152713722,1.4811273103882527,1.7699999999999996
Biloxi Bay,Abundant,ASV,BIL_ST6,BIL_ST4,0.14086162586917853,5.013070994466372,2.5374966823285425,2.4000000000000004
Biloxi Bay,Abundant,ASV,BIL_ST7,BIL_ST4,0.20010824485083814,7.749297726496992,2.061797261417825,3.7200000000000006
Biloxi Bay,Abundant,ASV,BIL_ST8,BIL_ST4,0.27874577659115385,11.63252524666425,2.6210834317788003,5.0699999999999985
Biloxi Bay,Abundant,ASV,BIL_ST9,BIL_ST4,0.308524815887262,12.416291018602198,2.645490611175981,5.01
Biloxi Bay,Abundant,ASV,BIL_ST6,BIL_ST5,0.0891311855550852,3.2773496337228654,1.085866668527017,0.6300000000000008
Biloxi Bay,Abundant,ASV,BIL_ST7,BIL_ST5,0.16936945567475706,6.357932819440825,1.4455313205428908,1.950000000000001
Biloxi Bay,Abundant,ASV,BIL_ST8,BIL_ST5,0.24033034769627706,10.149287020235441,1.774994858676821,3.299999999999999
Biloxi Bay,Abundant,ASV,BIL_ST9,BIL_ST5,0.2742246529774328,10.834132111193693,1.7536697751043786,3.24
Biloxi Bay,Abundant,ASV,BIL_ST7,BIL_ST6,0.2002158203567651,3.0982937176586067,2.0431769336576417,1.3200000000000003
Biloxi Bay,Abundant,ASV,BIL_ST8,BIL_ST6,0.2729212996649223,6.8745306469883785,2.083756514099894,2.669999999999998
Biloxi Bay,Abundant,ASV,BIL_ST9,BIL_ST6,0.2750589847728049,7.576026675275992,2.0191635344139076,2.6099999999999994
Biloxi Bay,Abundant,ASV,BIL_ST8,BIL_ST7,0.08636187840473161,3.8843483136620143,0.6367399576389234,1.3499999999999979
Biloxi Bay,Abundant,ASV,BIL_ST9,BIL_ST7,0.1176213264342027,4.675918759007039,0.7182341439438349,1.2899999999999991
Biloxi Bay,Abundant,ASV,BIL_ST9,BIL_ST8,0.0806945033375915,0.9148611791020995,0.18549897319492195,0.05999999999999872
Biloxi Bay,CRT,ASV,BIL_ST2,BIL_ST1,0.41996885272042217,2.4523137072883165,1.6817447108223464,3.7799999999999994
Biloxi Bay,CRT,ASV,BIL_ST3,BIL_ST1,0.5460056780835703,4.924946146929427,2.5942982435868673,5.83
Biloxi Bay,CRT,ASV,BIL_ST4,BIL_ST1,0.6330014220362248,7.625200369705529,3.6935592733697735,7.66
Biloxi Bay,CRT,ASV,BIL_ST5,BIL_ST1,0.6546606872499205,7.534061042212609,4.95639756222932,9.43
Biloxi Bay,CRT,ASV,BIL_ST6,BIL_ST1,0.6876243122824441,5.2264436749659975,5.78898440570614,10.06
Biloxi Bay,CRT,ASV,BIL_ST7,BIL_ST1,0.700483318263257,3.923759708918449,5.649225460967177,11.38
Biloxi Bay,CRT,ASV,BIL_ST8,BIL_ST1,0.7208486339053631,6.188202358264256,6.257474076514995,12.729999999999999
Biloxi Bay,CRT,ASV,BIL_ST9,BIL_ST1,0.7234745884170484,7.100625844543973,6.288378639533549,12.67
Biloxi Bay,CRT,ASV,BIL_ST3,BIL_ST2,0.319135338448069,2.479889432091768,1.3787288054462645,2.0500000000000007
Biloxi Bay,CRT,ASV,BIL_ST4,BIL_ST2,0.427280948686676,5.204038889001725,2.666348315601008,3.880000000000001
Biloxi Bay,CRT,ASV,BIL_ST5,BIL_ST2,0.459710071324195,5.462992234982792,4.029984418192875,5.65
Biloxi Bay,CRT,ASV,BIL_ST6,BIL_ST2,0.508974614589912,4.036473947450512,4.984113562340889,6.280000000000001
Biloxi Bay,CRT,ASV,BIL_ST7,BIL_ST2,0.5122799684161304,4.423717400868642,4.5278216049220275,7.600000000000001
Biloxi Bay,CRT,ASV,BIL_ST8,BIL_ST2,0.5421904103430637,7.767330268341288,5.127153303572157,8.95
Biloxi Bay,CRT,ASV,BIL_ST9,BIL_ST2,0.5380441705207691,8.666945462177791,5.191194134279291,8.89
Biloxi Bay,CRT,ASV,BIL_ST4,BIL_ST3,0.35516259593489075,2.741172629156298,1.4234826202275745,1.83
Biloxi Bay,CRT,ASV,BIL_ST5,BIL_ST3,0.36273573383389685,3.625447301749581,2.8877294668081293,3.5999999999999996
Biloxi Bay,CRT,ASV,BIL_ST6,BIL_ST3,0.3959971838391068,3.912818427985623,3.92393339970335,4.23
Biloxi Bay,CRT,ASV,BIL_ST7,BIL_ST3,0.4052419851449952,5.819144526745424,3.258615022028578,5.550000000000001
Biloxi Bay,CRT,ASV,BIL_ST8,BIL_ST3,0.44222916031446635,9.584281141801412,3.8538931567141934,6.899999999999999
Biloxi Bay,CRT,ASV,BIL_ST9,BIL_ST3,0.4495060931495819,10.436511107130958,3.904814031565072,6.84
Biloxi Bay,CRT,ASV,BIL_ST5,BIL_ST4,0.3125054356130609,2.5604480152713722,1.4811273103882527,1.7699999999999996
